Date,SVB share price (US $)
15/03/2018,259.769989
16/03/2018,263.799988
19/03/2018,260.589996
20/03/2018,264.589996
21/03/2018,265.040009
22/03/2018,250.669998
23/03/2018,239.550003
26/03/2018,249.470001
27/03/2018,239.210007
28/03/2018,235.809998
29/03/2018,240.009995
02/04/2018,233.419998
03/04/2018,236.490005
04/04/2018,240.809998
05/04/2018,242.279999
06/04/2018,236.059998
09/04/2018,237.110001
10/04/2018,245.660004
11/04/2018,243.589996
12/04/2018,250.559998
13/04/2018,247.029999
16/04/2018,246.570007
17/04/2018,244.610001
18/04/2018,242.720001
19/04/2018,249.139999
20/04/2018,250.830002
23/04/2018,254.229996
24/04/2018,257.609985
25/04/2018,257.579987
26/04/2018,257.369995
27/04/2018,305.609985
30/04/2018,299.609985
01/05/2018,305.459991
02/05/2018,306.01001
03/05/2018,303.480011
04/05/2018,305.820007
07/05/2018,307.320007
08/05/2018,312.730011
09/05/2018,317.119995
10/05/2018,320.279999
11/05/2018,321.019989
14/05/2018,319.200012
15/05/2018,321.290009
16/05/2018,322.089996
17/05/2018,323.359985
18/05/2018,321.779999
21/05/2018,322.200012
22/05/2018,324.309998
23/05/2018,323.700012
24/05/2018,322.290009
25/05/2018,319.459991
29/05/2018,306.98999
30/05/2018,314.980011
31/05/2018,312.130005
01/06/2018,317.730011
04/06/2018,319.519989
05/06/2018,318.700012
06/06/2018,323.589996
07/06/2018,322.399994
08/06/2018,325.720001
11/06/2018,321.109985
12/06/2018,320.140015
13/06/2018,320.329987
14/06/2018,316.48999
15/06/2018,315.820007
18/06/2018,318.269989
19/06/2018,316.779999
20/06/2018,318.480011
21/06/2018,316.079987
22/06/2018,310.170013
25/06/2018,302.160004
26/06/2018,299.309998
27/06/2018,289.329987
28/06/2018,291.649994
29/06/2018,288.76001
02/07/2018,292.23999
03/07/2018,289.019989
05/07/2018,291.450012
06/07/2018,295.420013
09/07/2018,304.25
10/07/2018,301.920013
11/07/2018,300.920013
12/07/2018,300.48999
13/07/2018,295.299988
16/07/2018,302.390015
17/07/2018,308.190002
18/07/2018,308.73999
19/07/2018,307.019989
20/07/2018,308.720001
23/07/2018,315.480011
24/07/2018,311.920013
25/07/2018,310.76001
26/07/2018,311.230011
27/07/2018,317.320007
30/07/2018,301.600006
31/07/2018,307.880005
01/08/2018,313.540009
02/08/2018,320.809998
03/08/2018,321.660004
06/08/2018,324.769989
07/08/2018,322.070007
08/08/2018,321.950012
09/08/2018,319
10/08/2018,316.75
13/08/2018,315.290009
14/08/2018,320.230011
15/08/2018,315.920013
16/08/2018,321.410004
17/08/2018,320.76001
20/08/2018,324.309998
21/08/2018,328.730011
22/08/2018,326.160004
23/08/2018,325.75
24/08/2018,326.529999
27/08/2018,331.23999
28/08/2018,326.589996
29/08/2018,323.459991
30/08/2018,320.880005
